순위,책이름,저자및출판사,가격
60,저소비 생활,가제노타미 저/ 정지영 역,"17,100"
61,안녕이라 그랬어,김애란 저,"15,120"
62,팩트풀니스,"안나 로슬링 뢴룬드 , 올라 로슬링 , 한스 로슬링 공저/ 이창신 역","21,420"
63,사카모토 데이즈 23 더블특전판,스즈키 유우토 글그림,"5,850"
64,초등 자기주도력,임가은 저,"19,800"
65,냉동 집밥 대백과,요오리 저/ 스테파니 리 감수,"20,520"
66,청춘의 독서,유시민 저,"17,010"
67,비트코인 없는 미래는 없다,"오태민 , 손혜민 , 김유정 저","27,900"
68,2026 선재국어 출발선 봉투 모의고사,이선재 편저,"25,200"
69,해커스 토익 기출 VOCA (보카),David Cho 저,"11,610"
70,코스모스,칼 에드워드 세이건 저/ 홍승수 역,"19,800"
71,"엔비디아 젠슨 황, 생각하는 기계",스티븐 위트 저/ 백우진 역,"25,200"
72,긴긴밤,루리 글그림,"11,250"
73,2026 SO NICE 백소나 소방학개론 단원별 예상문제집,백소나 편저,"27,000"
74,시체는 거짓말하지 않는다,유성호 저,"18,000"
75,달리기를 말할 때 내가 하고 싶은 이야기,무라카미 하루키 저/ 임홍빈 역,"13,050"
76,각성,김요한 저,"16,020"
77,요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,"박진환 , 공지훈 , 서원진 저","18,000"
78,아무도 오지 않는 곳에서,천선란 저,"15,300"
79,급류,정대건 저,"12,600"
80,자몽살구클럽,한로로 저,"10,800"
81,"챗GPT, 저는 이렇게 쓰고 있어요",최소영 저,"16,920"
82,넥서스,유발 하라리 저/ 김명주 역,"25,020"
83,요츠바랑! 16,아즈마 키요히코 글그림,"7,200"
84,너에게 들려주는 단단한 말,김종원 저,"16,200"
85,다산의 문장들,조윤제 저,"17,100"
86,오늘이 내일을 데려올 거야,에린 엔트라다 켈리 글/ 고정아 역,"16,200"
87,단 한 번의 삶,김영하 저,"15,120"
88,정승제의 수학 대모험 1,"설민석 , 조영선 글/ 최진규 , 박지영 그림/ 정승제 감수","14,400"
89,쇼펜하우어 인생수업 : 한 번뿐인 삶 이렇게 살아라 (리커버 에디션),쇼펜하우어 저 / 김지민 역,"15,750"
90,머니 마인드셋,루이스 하우즈 저/ 윤영호 역,"18,900"
91,세이노의 가르침,세이노(SayNo) 저,"6,480"
92,단 3개의 미국 ETF로 은퇴하라,김지훈(포메뽀꼬) 저,"17,820"
93,경험의 멸종,크리스틴 로젠 저/ 이영래 역,"17,820"
94,청춘의 필사,김종원 저,"19,800"
95,가공범,히가시노 게이고 저/ 김선영 역,"19,800"
96,2026 양승아 응급처치학개론 단원별 예상문제 (Always First),양승아 편저,"42,300"
97,해커스 일본어 첫걸음 : 일본어 기초 20일 독학 완성!,해커스 일본어연구소 저,"12,510"
98,한 번 배워서 평생 써먹는 박곰희 투자법,박곰희 저,"15,750"
99,체인소 맨 12,후지모토 타츠키 글그림,"5,400"
100,이영도 필사노트 vol.1,이영도 저,"19,800"
101,2025-2026 자문자답 나의 1년,홍성향 저,"15,120"
102,"AGI, 천사인가 악마인가",김대식 저,"16,200"
103,작별하지 않는다,한강 저,"15,120"
104,고추장 심부름,한소곤 글/ 모차 그림,"12,600"
105,체인소 맨 20,후지모토 타츠키 글그림,"5,400"
106,싯다르타,헤르만 헤세 저/ 박병덕 역,"7,200"
107,꽃을 보듯 너를 본다,나태주 저,"11,700"
108,처음부터 끝까지 고백,주또 저,"15,120"
109,데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),데일 카네기 저/ 임상훈 역,"10,350"
110,채식주의자,한강 저,"15,300"
111,나는 소망한다 내게 금지된 것을,양귀자 저,"13,500"
112,"오늘도 무사히, 일본살이 중입니다",정세월드 저,"15,300"
113,어른의 품위,최서영 저,"17,550"
114,운명을 보는 기술,박성준 저,"16,920"
115,향기로운 꽃은 늠름하게 핀다 17 일반판,미카미 사카 글그림,"5,400"
116,2026 써니 행정법총론 기출문제집,박준철 편저,"41,400"
117,호기심 가득한 어린이를 위한 이토록 굉장한 세계,에드 용 원저/ 앤마리 앤더슨 글/ 레베카 밀스 그림/ 양병찬 역,"18,900"
118,Go Go 카카오프렌즈 38 노르웨이,김미영 글/ 김정한 그림,"15,210"
119,돈의 속성 400쇄 리커버,김승호 저,"16,020"
120,사피엔스,유발 하라리 저/ 조현욱 역/ 이태수 감수,"24,120"
